Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Upstream tier 1 (ISIC Division/Group/Class),ISIC level used for upstream tier 1 link,Upstream tier 2 (ISIC Division/Group/Class),ISIC level used for upstream tier 2 link
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Manufacture of rubber and plastics products,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of electrical equipment,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Accommodation,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Food and beverage service activities,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Manufacture of rubber and plastics products,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of basic metals,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of electrical equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of electrical equipment,Manufacture of other electrical equipment,ISIC Group,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
